id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
62662,-0.285079,4.89113,4.10815,3101.037,NA,NA,NA,NA
62932,-2.39204,4.81033,5,1557.045,NA,NA,NA,NA
63047,-2.02101,3.8678,5,NA,1627.419,NA,NA,NA
63288,-2.03885,5,5,NA,6715.831,NA,NA,NA
63447,-1.07079,5,4.92468,NA,4029.296,NA,NA,NA
63692,-0.519086,5,5,NA,3356.67,NA,NA,NA
63976,-0.700124,5,5,6795.87,NA,NA,NA,NA
64083,-0.843961,5,4.72705,NA,13655.3,NA,NA,NA
64337,-1.06756,5,5,3802.957,NA,NA,NA,NA
64493,-1.98497,4.64541,4.71535,NA,3956.286,NA,NA,NA
64770,-0.735299,4.40212,5,NA,NA,3283.099,NA,NA
64994,-0.247263,4.86912,4.76477,NA,NA,7021.101,NA,NA
65158,0.370853,5,5,NA,3355.957,NA,NA,NA
65313,-0.571535,5,4.76286,NA,7322.908,NA,NA,NA
65450,-0.698438,5,5,NA,11515.869,NA,NA,NA
65609,-0.629068,5,5,NA,11400.093,NA,NA,NA
65834,0.43196,4.91623,5,NA,4438.734,NA,NA,NA
66179,0.151948,5,4.7954,1122.643,NA,NA,NA,NA
66247,-0.655651,4.88863,4.77737,NA,16263.557,NA,NA,NA
66419,-0.509492,4.85718,4.9159,NA,4826.637,NA,NA,NA
66779,-0.853075,5,5,NA,12627.545,NA,NA,NA
66866,-1.27329,5,4.43483,NA,2784.336,NA,NA,NA
67147,-0.732118,4.83461,5,NA,16356.683,NA,NA,NA
67394,-0.514101,4.85681,5,NA,4113.7,NA,NA,NA
67471,-0.151412,4.46208,5,NA,1694.608,NA,NA,NA
67638,-0.765514,4.7478,5,NA,14715.102,NA,NA,NA
67906,-0.629245,5,5,NA,8943.386,NA,NA,NA
68023,-0.553364,4.98225,4.91794,NA,7127.926,NA,NA,NA
68396,-0.819238,4.79979,5,NA,16617.62,NA,NA,NA
68588,-2.00736,5,5,NA,6723.292,NA,NA,NA
68655,-1.98451,5,5,NA,6641.829,NA,NA,NA
68896,-0.89698,5,5,NA,14519.725,NA,NA,NA
69194,-1.47261,4.41472,5,NA,4581.199,NA,NA,NA
69242,-1.03573,5,5,NA,7007.855,NA,NA,NA
