id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
71276,2.45819,1.67561,-4.36617,NA,NA,-13.961,NA,NA
71462,2.63319,1.60704,-4.19669,NA,-40.521,NA,NA,NA
71630,2.23339,1.85778,-3.94853,NA,NA,-11.938,NA,NA
71835,2.4992,2.14857,-4.83036,NA,NA,-25.77,NA,NA
72142,2.76867,1.60129,-4.99413,-38.944,NA,NA,NA,NA
72213,1.9084,0.923247,-4.52566,-28.57,NA,NA,NA,NA
72455,2.6445,1.47549,-4.86685,NA,-56.744,NA,NA,NA
72706,1.56473,1.55608,-4.94371,NA,-30.744,NA,NA,NA
72890,1.99008,1.76128,-4.01272,NA,NA,NA,-9.738,NA
73047,2.18219,2.0597,-4.99181,NA,NA,-20.578,NA,NA
73202,2.15973,2.37208,-4.10857,NA,NA,-19.315,NA,NA
73451,2.05142,2.27356,-4.54648,-18.115,NA,NA,NA,NA
73677,2.35177,1.99781,-4.65213,NA,NA,-16.41,NA,NA
73806,1.77012,1.58088,-4.77274,NA,NA,-7.999,NA,NA
74177,1.63111,1.96427,-3.84259,NA,NA,NA,-13.791,NA
74207,2.24362,1.66699,-4.54656,NA,NA,NA,-14.948,NA
74567,1.93036,2.06334,-4.4637,NA,NA,NA,NA,-33.057
74741,2.11956,2.54374,-3.61756,-40.435,NA,NA,NA,NA
74917,2.5419,2.46395,-4.9428,-40.067,NA,NA,NA,NA
75033,1.33032,2.2491,-3.93295,-22.05,NA,NA,NA,NA
75233,1.53107,1.4837,-4.15254,NA,NA,-3.645,NA,NA
75437,1.86662,1.39738,-4.56892,NA,NA,NA,-6.85,NA
75769,1.6168,0.820589,-4.97175,NA,NA,NA,-48.414,NA
75957,1.57456,0.975689,-4.10098,NA,NA,-23.424,NA,NA
